antibody,arm1_target,arm1_pdb,arm2_target,arm2_pdb,n_arms
Izuralimab,ICOS_CD278,Izuralimab_ICOS_CD278_fixed.pdb,PDCD1_CD279_PD1,Izuralimab_PDCD1_CD279_PD1_fixed.pdb,2
Ledostomig,NT5E_CALJA_CD73,Ledostomig_NT5E_CALJA_CD73_fixed.pdb,PDCD1_CD279_PD1,Ledostomig_PDCD1_CD279_PD1_fixed.pdb,2
Linclatamig,CD3E,Linclatamig_CD3E_fixed.pdb,LY6G6D_G6D_NG25_LY6-D_MEGT1_C6orf23,Linclatamig_LY6G6D_G6D_NG25_LY6-D_MEGT1_C6orf23_fixed.pdb,2
Linvoseltamab,CD3E,Linvoseltamab_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Linvoseltamab_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Lomvastomig,HAVCR2_TIM3,Lomvastomig_HAVCR2_TIM3_fixed.pdb,PDCD1_CD279_PD1,Lomvastomig_PDCD1_CD279_PD1_fixed.pdb,2
Lorigerlimab,CTLA4_CD152,Lorigerlimab_CTLA4_CD152_fixed.pdb,PDCD1_CD279_PD1,Lorigerlimab_PDCD1_CD279_PD1_fixed.pdb,2
Lutikizumab,IL1A,Lutikizumab_IL1A_fixed.pdb,IL1B,Lutikizumab_IL1B_fixed.pdb,2
Marlotamig,CD28,Marlotamig_CD28_fixed.pdb,EGFR_ERBB1_HER1,Marlotamig_EGFR_ERBB1_HER1_fixed.pdb,2
Mipletamig,CD3E,Mipletamig_CD3E_fixed.pdb,IL3RA_CD123,Mipletamig_IL3RA_CD123_fixed.pdb,2
Mosunetuzumab,CD3E,Mosunetuzumab_CD3E_fixed.pdb,MS4A1_CD20,Mosunetuzumab_MS4A1_CD20_fixed.pdb,2
Navicixizumab,DLL4,Navicixizumab_DLL4_fixed.pdb,VEGFA,Navicixizumab_VEGFA_fixed.pdb,2
Nebratamig1,PDL1_CD274,Nebratamig1_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Nebratamig1_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Nebratamig2,CD3DandCD3E,Nebratamig2_CD3DandCD3E_fixed.pdb,ROR1,Nebratamig2_ROR1_fixed.pdb,2
Nesfrotamig,ERBB2_CD340_HER2,Nesfrotamig_ERBB2_CD340_HER2_fixed.pdb,TNFRSF9_CD137_4-1BB,Nesfrotamig_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Nezastomig,CD28,Nezastomig_CD28_fixed.pdb,FOLH1_GCPII_PSMA,Nezastomig_FOLH1_GCPII_PSMA_fixed.pdb,2
Nivatrotamab,CD3E,Nivatrotamab_CD3E_fixed.pdb,GD2,Nivatrotamab_GD2_fixed.pdb,2
Obertamig,CD3E,Obertamig_CD3E_fixed.pdb,HLA-G,Obertamig_HLA-G_fixed.pdb,2
Obrindatamab,B7H3_CD276,Obrindatamab_B7H3_CD276_fixed.pdb,CD3E,Obrindatamab_CD3E_fixed.pdb,2
Obrixtamig,CD3E,Obrixtamig_CD3E_fixed.pdb,DLL3,Obrixtamig_DLL3_fixed.pdb,2
Odronextamab,CD3E,Odronextamab_CD3E_fixed.pdb,MS4A1_CD20,Odronextamab_MS4A1_CD20_fixed.pdb,2
Ompekimig1,IL13,Ompekimig1_IL13_fixed.pdb,IL4,Ompekimig1_IL4_fixed.pdb,2
Opamistomig,PDL1_CD274,Opamistomig_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Opamistomig_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Opugotamig_FOLR1,,Opugotamig_FOLR1_fixed.pdb,,,1
